# generated: model=plummer N=65536 seed=2026 G=1.0 Mtot=10.0 Rscale=2.0
-9.3381848950e-01  4.8701970972e-01 -1.0512864275e+00   -1.2533304039e+00 -3.0239276987e-01 -9.8453827678e-01    1.5258789062e-04
-1.5194504211e+00  3.7949680710e+00 -5.1225634238e+00   -3.6888460369e-01  9.9710607267e-01 -7.2770248202e-01    1.5258789062e-04
-2.0730355375e+00 -1.1881419483e+00 -4.3512536740e+00    1.1147214012e+00 -3.9687825550e-01 -1.3275863362e-01    1.5258789062e-04
-2.5504241859e+00  1.2730535383e+00 -1.4389643781e+00   -1.9091583844e-01  2.9667449641e-01 -2.8316592219e-02    1.5258789062e-04
-1.4273319927e+00  1.3432003669e+00  2.6257697752e-01   -9.9225200075e-01  1.4434840460e+00 -1.1765558588e+00    1.5258789062e-04
 6.5631693079e+00 -1.2188869662e+00  7.9381050460e+00    7.4249753167e-02  4.4470811444e-01  2.3590432347e-02    1.5258789062e-04
-1.0335149368e+00  2.7202399278e+00  3.9688848866e-01    2.1773365045e-01  4.1029697887e-03 -5.7872721547e-01    1.5258789062e-04
 8.1221416761e-01 -6.5353486251e-01  2.0527951101e+00    3.7163422677e-01  1.2865062357e-01  3.4028928953e-01    1.5258789062e-04
 4.2283535163e+00 -6.0757093457e+00  5.4916392982e-01   -9.8794899172e-01 -1.5183587696e-01  5.1831873131e-01    1.5258789062e-04
-1.7207472356e+00  5.1677281618e-01 -5.6869707562e-01    3.3708826196e-01 -6.2806675840e-03  3.0590311783e-01    1.5258789062e-04
-2.0279631897e+00 -2.3692405296e+00 -2.2251412989e+00    3.1633186094e-01  8.9464969755e-02  3.8896615641e-01    1.5258789062e-04
-1.8145677526e-01 -8.2396124620e-01  1.6413451154e+00   -1.1053029696e-01 -1.3936730525e-01 -2.0506782514e-01    1.5258789062e-04
-1.2017598969e+00  1.0461610507e+00 -5.1822807512e-01    5.5268153711e-01  1.0143632227e+00  1.0862091077e+00    1.5258789062e-04
-3.0928574119e-01 -3.7105833588e+00  1.0236621086e+00   -1.2256400649e+00 -4.1484159114e-01 -3.2377719776e-01    1.5258789062e-04
 7.1034514841e-01 -4.6054620604e-01 -1.2893735284e+00    7.8498270106e-01  2.6612056568e-01 -5.4916496631e-02    1.5258789062e-04
-2.1867241815e-01 -2.0875286861e-01 -2.5663190365e+00    1.1712380895e+00  1.0066875265e+00  3.2600903163e-01    1.5258789062e-04
 1.2871068439e+00 -2.0076321496e+00  1.8388371714e+00   -9.9413187995e-02 -2.1888555094e-01 -6.8738981069e-02    1.5258789062e-04
 7.2711227467e-01  9.9135737294e-01  6.6337577648e-01   -7.0362848195e-01 -1.1279997979e+00 -5.3090563635e-02    1.5258789062e-04
 1.3069177436e+00  2.6700519050e+00  2.8926203212e+00    8.4899532243e-01  1.0374724354e+00  2.3504556093e-01    1.5258789062e-04
 2.2046253455e+00 -1.5578315041e+00 -8.8927359264e-01   -1.0767088480e+00 -1.2376453280e+00 -1.0464459330e+00    1.5258789062e-04
 7.0082533915e-01  9.4376891344e-01 -3.0618425124e+00    4.2884025787e-01 -1.3922366864e-02  9.1959000174e-02    1.5258789062e-04
-1.5472666710e+00  6.6636427451e-01  1.2122132963e+00   -1.4186312581e-02  3.4759092978e-02  3.3191264604e-01    1.5258789062e-04
 1.8313655923e+00 -6.5792370934e-01  1.1269846396e+00   -1.9560880487e-01  2.5430593645e-01 -2.3298832269e-01    1.5258789062e-04
-1.0952310774e+00  9.8507917344e-01  2.1253112268e+00   -1.8617390268e-01  1.3650209790e-01  2.4878830857e-01    1.5258789062e-04
 6.8707094219e-01  2.3469919369e+00 -3.8623479718e-01    3.2825864052e-01  7.7261925933e-01  4.7456029714e-01    1.5258789062e-04
-3.5570040396e+00  4.8352671048e-01  7.5072930103e-01    4.1938293070e-01 -1.7612097312e-01 -1.2291079591e+00    1.5258789062e-04
 8.8818813828e-01  2.8368522713e+00  4.5731044320e-01    4.9724210641e-02  1.5253477773e-01  1.9174839246e-01    1.5258789062e-04
-6.2054700827e-01  3.3398210763e-01  2.1284870003e+00    9.9227950491e-01  5.3581560900e-01  1.4353069887e+00    1.5258789062e-04
-1.8626394027e-01  1.4752022245e-01  8.5737763301e-02   -1.5656228627e-01  2.3730761471e-01  2.9639345942e-02    1.5258789062e-04
 2.3599260397e+00  3.5153192118e+00  2.4700526972e+00    7.3188827960e-01 -3.4098380543e-01  2.9959615311e-01    1.5258789062e-04
-2.1753280428e+00  1.4878188311e+00  6.3640407579e-01    5.6495076226e-02  4.7470640652e-01 -6.7801417210e-01    1.5258789062e-04
-5.8888950648e-01  1.7526676864e+00  4.5999555967e-01    5.5087861458e-01  1.1998986123e+00 -2.6655458095e-01    1.5258789062e-04
 1.6392837590e+00 -5.3950800192e-01 -1.9543728041e+00    2.0184396579e-03  3.1364185960e-01  2.4830641084e-01    1.5258789062e-04
 3.2469560417e-01  7.4912196069e-01  6.0380684167e-01   -9.8084641975e-01 -2.9476714710e-01 -3.2806870853e-01    1.5258789062e-04
-1.3691435041e+00 -5.5501052050e-01 -7.4743719708e+00   -3.6783959684e-01  4.2960985328e-01 -6.6750803779e-01    1.5258789062e-04
 9.6462881872e+00 -1.9426609350e+01 -1.0434899055e+01   -2.0599857547e-01  5.0300140660e-01 -7.1770899075e-02    1.5258789062e-04
-4.4353571084e-01  2.1448739976e-01  6.8603095473e-01   -6.4012492502e-01 -1.1761595008e-01 -1.8546172613e-01    1.5258789062e-04
-1.3844385917e+00  1.0336081768e+00 -1.0655845669e+00   -1.1340910668e+00 -6.9281011088e-02 -1.7704373064e-01    1.5258789062e-04
-1.0326020626e+00  3.8534750890e+00  1.1264087519e+00    6.2245999498e-03  4.3122269096e-02 -8.5532508892e-01    1.5258789062e-04
-6.9959797621e-02 -1.5628121603e+00  9.8134813760e-01   -2.8524669162e-01  3.0170333736e-01  2.9946099096e-01    1.5258789062e-04
 2.5803914412e+00  1.4141258687e+00 -1.1184396703e-01    2.5509303276e-01  6.1876695941e-02  1.5292774713e-01    1.5258789062e-04
 4.7080334339e-01  1.2354612949e+00 -1.8233100826e+00   -2.9049471171e-01 -1.1638938465e-02 -6.8381448813e-02    1.5258789062e-04
-3.9726866742e+00  5.4329102864e-01  2.3395252307e+00    1.1443043351e+00 -4.4114978710e-01 -2.7542915298e-01    1.5258789062e-04
-9.7037010996e-01  1.1101196125e+01  3.9174185900e+00   -5.0391631616e-01  4.5795330586e-01  5.5640075173e-01    1.5258789062e-04
 9.2780585634e-01  3.6268344292e+00 -5.8999479819e+00    1.2543169974e-01 -2.0433724898e-02  5.4810702021e-01    1.5258789062e-04
-5.6310724420e-01  2.1005968078e+00  2.4428851857e+00   -9.2314108702e-01 -4.1479793221e-01 -3.3352092268e-01    1.5258789062e-04
-7.1368706767e-01  4.3303577528e-01  9.9097798684e-01    8.5131844075e-01  1.0070478455e+00 -1.8342934661e-01    1.5258789062e-04
 5.1214614300e+00 -7.6137606815e+00  4.8879145128e+00    5.9825958146e-01  2.0043668597e-01 -1.5504149551e-01    1.5258789062e-04
-2.9058329363e-01 -5.2125511373e-01  4.5174684776e-02    2.8128663467e-01 -5.2799924957e-01  2.1884968143e-01    1.5258789062e-04
-8.1578410144e-01 -3.2808872011e-01  1.5609627390e+00   -4.4989249543e-01  3.4241519896e-01  5.0317649925e-01    1.5258789062e-04
 5.2201819453e-01  1.5943351916e+00  4.4684769375e-01   -9.5097556316e-02  1.1442163980e+00 -9.0725324459e-01    1.5258789062e-04
-1.7726798953e+00 -9.6203588892e-01  3.0147586920e+00    1.2783353660e+00 -8.0763160195e-02  2.6843984534e-01    1.5258789062e-04
-1.2279318226e+00  4.0726148077e-01 -2.2109078414e+00    9.5245171607e-01  2.9474605436e-01  1.0827936722e-02    1.5258789062e-04
-7.3520222143e-01 -6.9544779387e-01  1.1239203220e-01    1.9109100901e-01  6.9480677801e-01 -9.7360693530e-01    1.5258789062e-04
-3.3741926046e-01 -3.1721215857e-01 -1.4994432847e-01    2.6659460108e-01 -6.2898390706e-01  2.3883148767e+00    1.5258789062e-04
-2.0132633876e+00 -1.4054533930e+00 -2.0109611931e+00    1.1719698264e+00 -8.8679588820e-01  6.9613344873e-01    1.5258789062e-04
-2.1915301482e-01  1.8513662456e+00 -1.7816334267e+00    5.6178689129e-01 -2.5271939388e-01 -1.3444504620e+00    1.5258789062e-04
 2.8256159532e+00  2.8601290482e-01 -1.3468785021e+00    2.6873128758e-02  1.0452310209e-02  2.0116718684e-01    1.5258789062e-04
-1.1145434412e+00 -2.7112498943e+00  5.4180897771e-02   -4.3308482995e-01  3.9084556888e-01 -3.3250545345e-01    1.5258789062e-04
 3.7114304488e+00  6.8488958401e-01  5.9465073757e+00    2.8460647594e-02  8.3096032041e-02 -1.5648218544e-01    1.5258789062e-04
-5.2677386944e+00  2.8350955279e+00 -5.7371532503e+00   -4.4019675610e-01 -1.5139474909e-01  3.6475836815e-01    1.5258789062e-04
 1.6147400421e-01 -8.2439030582e-01  1.1068542353e+00    7.0417822325e-02 -2.6862238777e-01 -1.7855339022e+00    1.5258789062e-04
-1.8828417593e+00  9.7439137560e+00  5.3529640579e-01   -4.1863087358e-01  7.6485788407e-01 -9.5949081409e-02    1.5258789062e-04
 2.0255332746e+00  2.9503527449e+00  3.2161913319e+00   -8.5014340795e-02 -1.0311762190e-01  2.1257647012e-01    1.5258789062e-04
-3.3234560899e+00  3.9848033733e-01 -6.0518056393e-01   -2.9955137388e-01  1.6763788607e-01 -5.7002159981e-02    1.5258789062e-04
 2.4362410394e+00 -2.5415018375e+00  2.0868316541e-01   -7.8891627995e-01  2.3673995892e-01  1.0416377727e+00    1.5258789062e-04
 1.6599898082e+00  2.4927433137e-02  2.2880738101e+00   -1.0681666298e-01  3.5460036389e-01 -1.6466696240e+00    1.5258789062e-04
-6.3061955397e+00 -4.2844514553e+00 -3.0791370537e+00    2.0791953457e-01  4.4832791585e-01 -7.8738769668e-02    1.5258789062e-04
-8.1693451103e-01  1.0522165163e-01 -1.3398199032e+00    5.3334886406e-01  3.4638038999e-01  2.3886780605e-01    1.5258789062e-04
 2.7296442541e-02  1.3043908987e+00  2.8473169548e+00   -1.1350450069e+00  7.4220926162e-02 -6.3643711120e-01    1.5258789062e-04
 3.2033222043e+00 -1.2712430378e-01  4.1052665363e+00    5.2182902129e-01  8.0077701594e-01  7.8330802938e-02    1.5258789062e-04
 1.8111209991e-01 -1.1625792116e+00 -1.6928778733e-01    4.3507082599e-02 -5.3081610599e-01  1.9597737189e-02    1.5258789062e-04
 4.2535874596e-01  3.1962242306e+00 -3.2137280940e-01   -2.1076645334e-01  9.2416418462e-01  8.3129644419e-02    1.5258789062e-04
-1.9186259456e+00 -1.6408844899e-01 -1.0670796655e+00   -2.6792181230e-02  1.1100707065e+00 -4.7153197430e-01    1.5258789062e-04
-1.5717295289e+00 -3.4738536726e+00 -2.4611880771e+00   -2.5883911910e-01 -7.7667013748e-01 -7.2006031379e-01    1.5258789062e-04
 7.1923961516e-02 -1.1850652130e-01 -8.8677739442e-01    5.0911072007e-01 -5.9240366942e-01  3.2896172137e-01    1.5258789062e-04
 1.9640887417e+00 -2.3130367402e+00 -9.3074590722e-01   -1.1335643691e+00 -1.8266589417e-01 -7.7974489891e-01    1.5258789062e-04
-4.2133597184e+00 -8.9477641855e-01  4.2892974827e+00    3.6991399202e-02 -1.0418806256e-01  1.8800510735e-01    1.5258789062e-04
-1.2201465693e+00 -2.2176064094e+00  2.1403539211e+00   -8.8540805485e-02 -3.5320299333e-01 -3.3709639790e-01    1.5258789062e-04
-1.5373225756e-01  1.9284705275e-01  1.8587759404e+00   -1.1280244006e+00  1.3027780488e+00  9.6452311714e-01    1.5258789062e-04
-3.4244905787e+00  6.5500135539e-01  4.7101407550e-01    2.1397482831e-01  6.8032164326e-01 -2.4299613839e-01    1.5258789062e-04
 3.8227294388e-01 -4.7389401124e-01  1.8347738329e+00    6.6957767351e-02  2.9082267769e-01  2.6275949184e-01    1.5258789062e-04
 1.9317718216e+00  1.3852451294e+00 -2.7122102138e+00    4.6215081389e-01  1.7322906205e-01  2.4705941741e-01    1.5258789062e-04
 1.0901022240e+00  3.3913357976e-01 -2.1901206629e-01    4.3176158086e-01  6.8132325920e-01 -7.3991681779e-02    1.5258789062e-04
-1.4013798752e+00  8.9328708475e-01  5.0908798609e-01   -1.0400964136e-01 -1.2723049535e-01  2.7781790176e-01    1.5258789062e-04
-6.4976621244e-01  1.8451527940e-01 -1.2148760905e-01    1.2404530807e+00  1.1853651449e+00 -1.1125046849e+00    1.5258789062e-04
 4.7568466720e-01  4.7479440155e-01  6.9560256384e-01    1.5233986891e+00  5.8033668857e-01  5.4312992647e-01    1.5258789062e-04
-5.7344769276e-01  1.9883267485e+00  2.0091424679e+00   -1.5898830683e+00  2.8732427595e-01 -8.5555326773e-02    1.5258789062e-04
-2.2293449687e-01  1.4386194803e+00  5.6144383368e-01   -1.1408610133e-01  1.1460986156e+00  8.0348505759e-01    1.5258789062e-04
-2.3366540487e+00  1.1398554937e+00  7.0921666262e-01    7.8892763838e-01 -1.0195362963e+00  5.5719931147e-01    1.5258789062e-04
-1.6533320394e+00 -2.8914379030e+00 -1.1963847096e+00   -3.7665875239e-01  5.1156099243e-01  4.8946253129e-01    1.5258789062e-04
 5.5564753880e+00  5.0352435557e-02  3.7996321580e+00    3.1587931250e-01 -1.0196858805e-01 -7.6197400734e-01    1.5258789062e-04
 1.7334030993e+00 -9.7529858465e-01  1.5186018347e-01   -5.0885011052e-01  2.9675042942e-01 -3.1778500185e-02    1.5258789062e-04
-1.8536467181e+00  8.7545973545e-02 -3.0546782848e-01    7.5249002037e-01 -9.4471610426e-01  2.6563689160e-01    1.5258789062e-04
-1.6319795561e+00  3.8057821155e-02 -8.9826704467e-01   -5.2277314988e-01  5.2317874332e-01 -8.3292139993e-02    1.5258789062e-04
 5.7260254218e-01 -9.2656314114e-01 -2.4976982394e-01    9.2268411168e-01 -1.6855708010e+00  5.1607748342e-01    1.5258789062e-04
-1.6788873980e+00 -3.0439377315e+00  7.7798240679e-01    1.6702046947e-01  1.9973468728e-01 -2.8334889413e-01    1.5258789062e-04
 3.6417478125e-01  4.8794998604e+00  2.0710059638e+00    1.9033181407e-01  5.1373296958e-01 -6.3109095609e-01    1.5258789062e-04
 1.7825301437e+00  1.7272156828e+00  6.0652268812e-02    1.3982864034e-01 -1.3018815590e+00 -1.3312325160e+00    1.5258789062e-04
-1.2688437254e+00 -1.9905643737e+00  1.6828275354e+00   -8.2732453972e-03  1.0480306114e+00 -1.3015089728e+00    1.5258789062e-04
 8.4368964288e+00  3.6481945259e+00 -7.4151737257e+00   -9.0105016482e-01  2.2239358277e-01 -1.8820711840e-02    1.5258789062e-04
-1.4089793512e+00 -1.8671878005e+00  3.0535913996e+00   -7.0391288162e-01 -6.1897293966e-01 -8.5314199447e-01    1.5258789062e-04
 3.6211761103e+00 -4.6820625287e-01 -2.2531235227e+00   -8.4666285237e-02  7.6760479464e-01  8.7937399713e-01    1.5258789062e-04
-9.4892475383e-01  2.3081248716e+00  6.5570139633e+00   -1.9020428159e-01 -2.6401026288e-01 -1.0217869973e-01    1.5258789062e-04
-5.1158045907e-01  1.3183933714e+00 -5.2666222635e-01   -4.9138982990e-01 -2.9097677578e-01 -5.5805667336e-01    1.5258789062e-04
 3.4055386249e+00  2.2154649118e-01 -5.7653366320e-01    4.9683301646e-01 -1.8247228087e-01 -4.8467161841e-01    1.5258789062e-04
-1.4446005405e+00 -1.1635386754e+00 -3.5718795897e+00   -3.6923472204e-02 -7.2928032926e-01  1.3140943093e+00    1.5258789062e-04
 3.1252201471e+00 -4.3231728384e+00 -2.1095632343e+00   -6.0644223354e-01 -8.0875250576e-01  4.1353656602e-01    1.5258789062e-04
 1.7093930869e+00 -8.6602185170e-01  3.7089139829e-01   -6.1626015552e-02  7.2364410288e-01  1.2923145294e+00    1.5258789062e-04
-3.7244268615e+00  4.2389806016e-01  4.3855140109e-01    2.9772330135e-01 -4.3664345355e-01  3.0047277059e-02    1.5258789062e-04
 3.0494852717e+00 -7.1954375646e-01  3.7759193267e-01    2.1352572254e-01  1.0653165946e-01  5.5674976265e-01    1.5258789062e-04
 1.7450314327e+00  7.6593310955e-01  1.1157075388e+00    4.2496949939e-01  2.1678090986e-01 -1.1619587324e+00    1.5258789062e-04
 2.7850581424e-01  2.4687019578e-02  1.0089978880e+00   -1.7732174677e+00  6.3724631440e-01  2.6512287258e-01    1.5258789062e-04
 1.4305939463e+00  9.7185497800e-01  9.8608016720e-01   -9.9656159431e-01  2.1017435174e-01  8.1193005415e-01    1.5258789062e-04
-5.6647601560e+00 -9.4341236230e+00 -6.1885316994e+00   -1.3480392256e-01 -1.1294352145e-01 -4.2500904605e-04    1.5258789062e-04
-1.2184395941e+00 -7.6412584263e-01 -4.5529502365e-01   -2.6869662092e-01 -8.6806535532e-01  1.4271567089e+00    1.5258789062e-04
-1.0596598205e+00  2.1981434333e-01 -2.8287478940e-01   -2.6371142865e-01  1.2690907585e-01 -5.0949670926e-01    1.5258789062e-04
-2.2827280538e-01 -6.0408306944e-02 -2.0472680521e+00    7.9657605225e-02 -6.2261445061e-02  4.4984837904e-02    1.5258789062e-04
-2.8036255948e-01 -8.5913793782e-01 -5.4215214076e-01   -2.4577001449e-01 -4.1941978340e-01 -2.0381143335e-02    1.5258789062e-04
-1.6866369309e+00 -1.4067444777e-01 -3.0738216047e-02    5.9414221449e-01  6.2802994864e-01  2.4666692718e-01    1.5258789062e-04
-2.5764930787e-01  3.5726668935e+00 -7.2400494731e+00   -1.9561232215e-01 -1.8799549226e-01 -3.6036360143e-01    1.5258789062e-04
 5.2544385864e-01  3.9554599440e-01  1.7433528573e+00   -2.5136832778e-01 -7.3897697094e-01  3.2624772392e-01    1.5258789062e-04
-2.2409455065e+00  1.2203164713e+00 -1.7045830826e+00   -6.6978818666e-01 -6.5776927579e-02 -1.6302203385e-01    1.5258789062e-04
-4.6825616265e-01  1.5189747982e+00 -7.4546164360e-03   -1.7213394172e+00  1.0540927366e-01  5.4881286638e-02    1.5258789062e-04
-3.4210257136e+00 -1.0281169259e+00 -5.0737790067e-01    6.4812205000e-02  1.3998599431e-01  1.0322831102e-01    1.5258789062e-04
 1.1244468166e+00  2.4503521894e-02  2.6405693752e-01   -3.5799956418e-01 -3.7881543937e-01 -7.5398577632e-01    1.5258789062e-04
-3.8744615939e+00  2.7458655031e+00 -1.0202278614e+00    2.9874932650e-01  9.4663513626e-01  1.0144158625e+00    1.5258789062e-04
-9.0876179670e-01 -1.1078521825e+00  1.7584513629e+00    6.4970449013e-02 -7.4966187964e-02 -7.4522383281e-02    1.5258789062e-04
-4.4177710920e-01 -3.1027137625e-01  1.2674408900e+00   -1.1275537702e+00 -2.5276015592e-01 -8.1519273791e-01    1.5258789062e-04
-1.1947395692e+00 -4.7963106216e-01  4.2481961983e+00   -5.5219247504e-02  9.1877332723e-02 -2.5712413934e-01    1.5258789062e-04
-1.2862873859e-01 -8.1473381773e-01  2.7526578780e+00   -9.3253556349e-01 -3.4532951478e-01 -5.4039319273e-01    1.5258789062e-04
-1.9034704182e+00 -1.9826019996e-01  1.3439795577e+00   -3.5231337728e-01  5.8646249514e-01  3.2275013883e-01    1.5258789062e-04
-1.1308520790e+00 -7.5857709826e-01 -8.3245604385e-01    2.4326128749e-01 -3.3658243307e-01 -2.5562285442e-01    1.5258789062e-04
-7.8570047202e-01  4.2068753703e-01 -4.6538705695e+00    2.9094934922e-01 -1.4315908519e+00 -5.7078981839e-01    1.5258789062e-04
-1.4610582890e+00 -4.5212751182e-01  1.3584461987e+00    7.4135955220e-02  1.8624928839e+00 -4.6034748074e-01    1.5258789062e-04
-4.0046584812e-01 -1.0909880363e-01 -6.3437690223e-01    7.1416395868e-01  1.0115892539e+00 -6.0348717728e-01    1.5258789062e-04
 6.5252950099e+00 -7.3067401770e-01 -1.1187028462e+01   -1.9034432455e-02  4.4151349289e-01 -1.7071252279e-02    1.5258789062e-04
-1.5804614016e-01 -6.0692407697e-02 -6.4345787484e-01   -9.0067865527e-01 -8.6671799623e-02 -1.3091695985e+00    1.5258789062e-04
 1.0604704970e+00  3.8055253606e-01  6.7447241421e-02   -4.1237460521e-01  5.2097393884e-02  6.5856908632e-01    1.5258789062e-04
-2.1836634357e+00 -5.3303174408e-01 -1.0086791577e+00    4.4714858176e-01  3.9257251783e-01  1.7850724501e-01    1.5258789062e-04
-1.3420743578e+00  4.4012216983e-01  4.3676477228e-01   -9.3613804759e-03 -7.2089201570e-02  4.2935566628e-02    1.5258789062e-04
-1.6464879898e+00  9.7193831231e-01 -3.4344617384e-01   -1.2810810434e+00 -1.2228589262e+00 -8.9016641013e-01    1.5258789062e-04
-7.8962822548e-01  2.5342031028e+00  1.3026127341e+00   -4.1511733712e-01  6.5437201348e-01 -2.7055561735e-01    1.5258789062e-04
 4.0557598179e+00  2.6925403532e+00 -1.0663047410e+01   -1.1980043392e-01  5.7180748814e-02 -1.1280208917e-01    1.5258789062e-04
 7.4975753972e+00 -4.3379226901e+00 -3.7451492527e+00   -6.7606626104e-02 -6.5919885549e-02 -4.1947056774e-02    1.5258789062e-04
-2.3230487830e-01 -6.1838776888e-01  6.3883602010e-01   -2.0494863045e-01 -5.8051843381e-01 -1.2373785139e-01    1.5258789062e-04
 4.5015839542e+00  3.9269715662e+00 -3.6999348522e-01   -8.1331338397e-01 -2.9916738403e-01 -2.4718602090e-01    1.5258789062e-04
-9.7840535020e-01 -1.9945593893e-01 -8.8269454014e-01   -4.6683556394e-01  1.5911806926e+00 -1.0779956115e+00    1.5258789062e-04
-1.2435052655e+00 -4.8209267605e+00  1.3886909716e+00   -4.7694941548e-01  1.8100166420e-01 -3.8249706962e-01    1.5258789062e-04
 1.1741055799e+00 -4.1303335406e-01  1.2686298769e+00    1.8998751930e-01 -2.0358906690e-01  3.9706308016e-02    1.5258789062e-04
-2.7846117693e+00  1.4779723519e+00 -2.5163469967e+00   -4.1950909660e-01 -8.5619486170e-01  5.9072887892e-01    1.5258789062e-04
 3.2027659584e+00 -2.3950139571e+00 -4.1627317568e-01   -2.3308874098e-01  1.1510945594e+00 -5.9455068363e-01    1.5258789062e-04
 2.1728684906e+00 -1.6936880611e+00  5.2333872573e+00    1.3897348218e-01 -3.0952160944e-02  9.9187843215e-01    1.5258789062e-04
 1.3182168376e+01 -9.7342103931e+00  4.5344427825e+00    4.8798572786e-02  1.4109687356e-01 -4.4443434262e-01    1.5258789062e-04
 8.7370071867e-01 -1.0717589530e+00 -1.0053029516e+00    1.3863694730e-01 -7.6872348107e-01 -2.5861004984e-01    1.5258789062e-04
-1.5616540107e+00  2.5618169808e+00  1.4313562411e+00    9.1327741962e-01 -9.9816840524e-01  6.6313150810e-02    1.5258789062e-04
-3.9118189459e-01  9.3797639629e-01  4.1059749639e+00    1.3169727137e+00  2.6375374360e-01 -8.2895140477e-02    1.5258789062e-04
-2.8330472363e-01 -8.2142887112e-01 -3.9385801529e-01   -6.6697984822e-01  1.1664206825e-01 -6.7735335382e-01    1.5258789062e-04
-1.8059125755e+00 -2.9852744060e+00  7.1289987513e-01    1.8442608463e-01 -7.4729759608e-01  1.1848516821e+00    1.5258789062e-04
